Brand,Model,Range(km),Long_distance_range(km),Battery_kWh,Weight(kg),Acceleration(0-100s),Efficiency(Wh/km),Seating_Capacity,Market_Segment,Fastcharge_power(kW),Towing_capacity(Kg),Cargo_volume(L),Price_per_range,Price(£)
Fisker,Ocean Sport,350 km,391 km,71.0 kWh,2300 kg,7.4 sec,203 Wh/km,5,D,100 kW,1090 kg,476 L,€124 /km,"€43,900"
Volvo,EX40 Twin Motor Performance (MY25),385 km,419 km,79.0 kWh,2170 kg,4.6 sec,205 Wh/km,5,C,125 kW,1800 kg,441 L,€165 /km,"€62,890"
Mercedes-Benz,EQE AMG 53 4MATIC+ (MY24),450 km,491 km,90.6 kWh,2540 kg,3.5 sec,201 Wh/km,5,E,141 kW,1700 kg,430 L,€267 /km,"€110,706"
GWM,ORA 07 GT,430 km,389 km,83.5 kWh,2210 kg,4.5 sec,194 Wh/km,5,D,80 kW,0 kg,333 L,€124 /km,"€53,490"
Ford,Mustang Mach-E SR RWD (MY24),385 km,408 km,72.6 kWh,2166 kg,6.2 sec,189 Wh/km,5,D,100 kW,750 kg,619 L,€132 /km,"€55,800"
Škoda,Enyaq Coupe iV 80x (MY23),435 km,473 km,77.0 kWh,2214 kg,7.0 sec,177 Wh/km,5,C,115 kW,1200 kg,575 L,€135 /km,"€56,650"
Volvo,EC40 Twin Motor (MY25),400 km,443 km,79.0 kWh,2185 kg,4.8 sec,198 Wh/km,5,C,125 kW,1800 kg,435 L,€160 /km,"€61,290"
Ford,Mustang Mach-E Rally (MY24),410 km,417 km,91.0 kWh,2343 kg,3.9 sec,222 Wh/km,5,D,115 kW,750 kg,619 L,€189 /km,"€80,300"
Volkswagen,ID.5 Pure (MY26),320 km,359 km,52.0 kWh,1963 kg,8.9 sec,163 Wh/km,5,C,87 kW,1000 kg,549 L,€145 /km,"€45,270"
Mercedes-Benz,EQE AMG 53 4MATIC+ (MY22-23),455 km,491 km,90.6 kWh,2525 kg,3.5 sec,199 Wh/km,5,E,141 kW,750 kg,430 L,€271 /km,"€109,777"
Mercedes-Benz,EQA 250+,420 km,414 km,70.5 kWh,2055 kg,9.1 sec,168 Wh/km,5,C,90 kW,0 kg,340 L,€136 /km,"€55,960"
Renault,Kangoo Grand E-Tech Electric,220 km,218 km,45.0 kWh,1992 kg,13.3 sec,205 Wh/km,7,N,50 kW,1500 kg,500 L,€183 /km,"€40,250"
BMW,i5 M60 xDrive Touring (MY25),425 km,485 km,81.2 kWh,2425 kg,3.9 sec,191 Wh/km,5,E,136 kW,2000 kg,570 L,€257 /km,"€101,500"
Mercedes-Benz,EQE SUV 300 (MY25),450 km,485 km,90.6 kWh,2445 kg,7.1 sec,201 Wh/km,5,E,141 kW,750 kg,520 L,€184 /km,"€83,479"
Hyundai,Kona Electric 39 kWh,245 km,221 km,39.2 kWh,1610 kg,9.7 sec,160 Wh/km,5,B,37 kW,0 kg,332 L,€135 /km,"€34,600"
Mercedes-Benz,EQS SUV 500 4MATIC,490 km,521 km,108.4 kWh,2805 kg,5.2 sec,221 Wh/km,7,F,173 kW,1800 kg,645 L,€278 /km,"€124,545"
VinFast,VF 8 Plus Extended Range,400 km,416 km,87.7 kWh,2595 kg,5.5 sec,219 Wh/km,5,D,120 kW,1800 kg,376 L,€144 /km,"€58,890"
MG,Cyberster Trophy,425 km,440 km,74.4 kWh,1960 kg,5.0 sec,175 Wh/km,2,S,85 kW,unknown,249 L,€152 /km,"€64,990"
Lucid,Air Dream Edition P,670 km,766 km,118.0 kWh,2435 kg,2.7 sec,176 Wh/km,5,F,185 kW,0 kg,910 L,€328 /km,"€218,000"
Smart,EQ fortwo cabrio,95 km,66 km,16.7 kWh,1125 kg,11.9 sec,176 Wh/km,2,A,0 kW,0 kg,260 L,€286 /km,"€25,200"
Opel,Zafira-e Life L 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,unknown,€261 /km,"€70,075"
Toyota,Proace Verso L 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.1 sec,260 Wh/km,8,N,79 kW,1000 kg,989 L,€269 /km,"€65,385"
Ford,Mustang Mach-E ER RWD (MY23),480 km,448 km,91.0 kWh,2160 kg,7.0 sec,190 Wh/km,5,D,86 kW,1500 kg,619 L,€138 /km,"€71,200"
DS Automobiles,N°8 FWD,415 km,449 km,73.7 kWh,2207 kg,7.7 sec,178 Wh/km,5,D,100 kW,1260 kg,620 L,€139 /km,"€57,700"
Volkswagen,ID.5 Pure (MY24-25),320 km,359 km,52.0 kWh,1966 kg,8.9 sec,163 Wh/km,5,C,87 kW,1000 kg,549 L,€145 /km,"€45,270"
Lucid,Gravity Touring (MY26),465 km,549 km,89.0 kWh,2522 kg,4.2 sec,191 Wh/km,7,F,180 kW,1600 kg,1663 L,€218 /km,"€99,900"
Tesla,Model S P90D,405 km,401 km,85.5 kWh,2271 kg,3.3 sec,211 Wh/km,5,F,90 kW,unknown,895 L,€316 /km,"€124,200"
Porsche,Taycan Sport Turismo,380 km,480 km,71.0 kWh,2155 kg,5.4 sec,187 Wh/km,5,F,183 kW,0 kg,530 L,€251 /km,"€94,091"
Peugeot,e-Rifter XL 50 kWh,230 km,239 km,50.0 kWh,1901 kg,11.7 sec,217 Wh/km,7,N,80 kW,750 kg,1050 L,€175 /km,"€39,440"
Citroën,ë-SpaceTourer M 75 kWh,265 km,252 km,69.0 kWh,2211 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€213 /km,"€52,230"
Volkswagen,e-Caravelle L2 160 kW 64 kWh,245 km,247 km,63.8 kWh,2568 kg,8.6 sec,260 Wh/km,9,N,75 kW,2000 kg,1000 L,€288 /km,"€69,175"
Porsche,Taycan Plus Sport Turismo,445 km,559 km,83.7 kWh,2235 kg,5.4 sec,188 Wh/km,5,F,216 kW,0 kg,530 L,€227 /km,"€99,815"
Mercedes-Benz,EQV 250 Long,215 km,199 km,60.0 kWh,2594 kg,12.0 sec,279 Wh/km,7,N,60 kW,0 kg,1030 L,€272 /km,"€58,488"
Citroën,ë-SpaceTourer XL 75 kWh,265 km,252 km,69.0 kWh,2240 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€217 /km,"€53,230"
Opel,Zafira Electric 75 kWh,265 km,252 km,69.0 kWh,2211 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€210 /km,"€53,550"
Mercedes-Benz,EQV 300 Extra-Long,315 km,291 km,90.0 kWh,2735 kg,12.2 sec,286 Wh/km,7,N,96 kW,0 kg,1410 L,€276 /km,"€62,897"
Volvo,EC40 Twin Motor Performance (MY26),400 km,443 km,79.0 kWh,2185 kg,4.6 sec,198 Wh/km,5,C,125 kW,1800 kg,435 L,€159 /km,"€64,390"
Volkswagen,e-Transporter Kombi L1 160 kW 64 kWh,255 km,254 km,63.8 kWh,2302 kg,8.6 sec,250 Wh/km,9,N,75 kW,2000 kg,800 L,€253 /km,"€64,867"
Tesla,Model S P90DL,405 km,401 km,85.5 kWh,2262 kg,3.0 sec,211 Wh/km,5,F,90 kW,unknown,895 L,€327 /km,"€131,400"
Smart,EQ fortwo cabrio,95 km,65 km,16.7 kWh,1115 kg,11.8 sec,176 Wh/km,2,A,0 kW,0 kg,260 L,€263 /km,"€25,200"
Peugeot,e-Rifter Long 50 kWh,200 km,214 km,46.3 kWh,1841 kg,11.7 sec,232 Wh/km,7,N,78 kW,750 kg,806 L,€207 /km,"€42,440"
Citroën,ë-Jumpy Combi M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,507 L,€217 /km,"€57,940"
Mercedes-Benz,EQS SUV 450 4MATIC,490 km,521 km,108.4 kWh,2805 kg,6.0 sec,221 Wh/km,7,F,173 kW,1800 kg,645 L,€267 /km,"€114,609"
Volkswagen,ID.5 GTX,405 km,447 km,77.0 kWh,2243 kg,6.3 sec,190 Wh/km,5,C,115 kW,1200 kg,549 L,€152 /km,"€56,455"
Porsche,Taycan Turbo,445 km,568 km,83.7 kWh,2380 kg,3.2 sec,188 Wh/km,5,F,216 kW,0 kg,450 L,€360 /km,"€164,420"
Mercedes-Benz,EQE SUV AMG 53 4MATIC+ (MY25),420 km,453 km,90.6 kWh,2690 kg,3.7 sec,216 Wh/km,5,E,141 kW,1800 kg,520 L,€335 /km,"€139,438"
Abarth,500e Scorpionissima,225 km,251 km,37.8 kWh,1410 kg,7.0 sec,168 Wh/km,4,B,67 kW,0 kg,185 L,€195 /km,"€43,000"
ORA,Funky Cat GT,330 km,300 km,59.3 kWh,1615 kg,8.2 sec,180 Wh/km,5,C,55 kW,0 kg,228 L,€150 /km,"€49,490"
Mini,Cooper SE Convertible,165 km,167 km,28.9 kWh,1540 kg,8.2 sec,175 Wh/km,4,B,44 kW,0 kg,160 L,€370 /km,"€60,000"
Ford,Mustang Mach-E ER RWD (MY23.75),480 km,489 km,91.0 kWh,2160 kg,7.0 sec,190 Wh/km,5,D,115 kW,1500 kg,619 L,€126 /km,"€58,500"
GWM,ORA 07 Pro,350 km,339 km,64.3 kWh,2065 kg,8.2 sec,184 Wh/km,5,D,75 kW,0 kg,333 L,€127 /km,"€44,490"
Tesla,Model X 60D,285 km,306 km,62.0 kWh,2427 kg,6.2 sec,218 Wh/km,7,F,95 kW,unknown,unknown,€315 /km,"€89,100"
Audi,e-tron S,320 km,339 km,86.5 kWh,2695 kg,4.5 sec,270 Wh/km,5,E,146 kW,1800 kg,660 L,€311 /km,"€93,800"
Porsche,Taycan 4S Plus Sport Turismo,510 km,655 km,97.0 kWh,2350 kg,3.7 sec,190 Wh/km,5,F,262 kW,0 kg,530 L,€246 /km,"€127,322"
Audi,Q4 Sportback e-tron 35,300 km,341 km,52.0 kWh,1990 kg,9.0 sec,173 Wh/km,5,C,90 kW,1000 kg,535 L,€159 /km,"€47,600"
Volkswagen,e-Caravelle L2 210 kW 64 kWh,245 km,247 km,63.8 kWh,2568 kg,7.4 sec,260 Wh/km,9,N,75 kW,2000 kg,1000 L,€304 /km,"€71,216"
Smart,EQ forfour,95 km,65 km,16.7 kWh,1200 kg,12.7 sec,176 Wh/km,4,A,0 kW,0 kg,185 L,€237 /km,"€22,600"
Peugeot,e-Traveller L2 75 kWh,265 km,252 km,69.0 kWh,2211 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€221 /km,"€52,230"
Skywell,BE11 Standard Range,325 km,296 km,68.0 kWh,1955 kg,9.6 sec,209 Wh/km,5,D,50 kW,unknown,467 L,€131 /km,N/A
BMW,i5 xDrive40 Touring,440 km,502 km,81.2 kWh,2405 kg,5.5 sec,185 Wh/km,5,E,136 kW,2000 kg,570 L,€183 /km,"€77,600"
Škoda,Enyaq iV RS (MY23),420 km,456 km,77.0 kWh,2258 kg,6.2 sec,183 Wh/km,5,C,115 kW,1200 kg,585 L,€147 /km,"€63,300"
Kia,e-Soul 39 kWh,230 km,209 km,39.2 kWh,1610 kg,9.9 sec,170 Wh/km,5,B,37 kW,0 kg,315 L,€156 /km,"€38,090"
Mercedes-Benz,EQV 300 Extra-Long,310 km,285 km,90.0 kWh,2660 kg,12.1 sec,290 Wh/km,7,N,96 kW,0 kg,1410 L,€254 /km,"€72,519"
Citroën,ë-SpaceTourer M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,507 L,€276 /km,"€53,640"
Toyota,Proace Verso M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.1 sec,260 Wh/km,8,N,79 kW,1000 kg,603 L,€244 /km,"€64,530"
Porsche,Taycan Turbo Cross Turismo,495 km,636 km,97.0 kWh,2395 kg,2.8 sec,196 Wh/km,5,F,262 kW,0 kg,489 L,€348 /km,"€177,000"
Toyota,Proace City Verso L1 50 kWh,210 km,224 km,46.3 kWh,1739 kg,11.2 sec,220 Wh/km,5,N,78 kW,750 kg,597 L,€194 /km,"€37,800"
Volkswagen,ID.5 Pro,430 km,459 km,77.0 kWh,2117 kg,10.4 sec,179 Wh/km,5,C,125 kW,1000 kg,549 L,€119 /km,"€46,515"
Porsche,Taycan 4S Cross Turismo,440 km,557 km,83.7 kWh,2320 kg,4.1 sec,190 Wh/km,5,F,216 kW,0 kg,530 L,€269 /km,"€119,914"
Tesla,Model S 70,345 km,362 km,69.0 kWh,2102 kg,5.8 sec,200 Wh/km,5,F,95 kW,unknown,895 L,€242 /km,"€82,700"
Lucid,Air Pure AWD (MY23-24),560 km,645 km,92.0 kWh,2337 kg,4.0 sec,164 Wh/km,5,F,160 kW,0 kg,910 L,€200 /km,"€109,000"
Porsche,Taycan GTS Sport Turismo,425 km,542 km,83.7 kWh,2385 kg,3.7 sec,197 Wh/km,5,F,216 kW,0 kg,530 L,€327 /km,"€140,858"
Mercedes-Benz,eVito Tourer Long 41 kWh,120 km,85 km,35.0 kWh,2260 kg,16.0 sec,292 Wh/km,9,N,0 kW,0 kg,990 L,€453 /km,"€54,395"
Mercedes-Benz,eVito Tourer Extra-Long 41 kWh,120 km,85 km,35.0 kWh,2285 kg,16.0 sec,292 Wh/km,9,N,0 kW,0 kg,1390 L,€461 /km,"€55,275"
Porsche,Taycan 4S Plus Sport Turismo,430 km,546 km,83.7 kWh,2325 kg,4.0 sec,195 Wh/km,5,F,216 kW,0 kg,530 L,€277 /km,"€120,081"
Mercedes-Benz,EQE 500 4MATIC (MY22-23),505 km,549 km,90.6 kWh,2475 kg,4.7 sec,179 Wh/km,5,E,141 kW,750 kg,430 L,€199 /km,"€87,286"
Volkswagen,e-Transporter Kombi L1 210 kW 64 kWh,255 km,254 km,63.8 kWh,2302 kg,7.4 sec,250 Wh/km,9,N,75 kW,2000 kg,800 L,€262 /km,"€66,908"
Tesla,Model S 60D,345 km,376 km,62.0 kWh,2183 kg,5.4 sec,180 Wh/km,5,F,95 kW,unknown,895 L,€238 /km,"€74,719"
Porsche,Taycan Turbo S Sport Turismo,505 km,655 km,97.0 kWh,2395 kg,2.4 sec,192 Wh/km,5,F,262 kW,0 kg,489 L,€407 /km,"€210,800"
Peugeot,e-Traveller L2 50 kWh,180 km,191 km,46.3 kWh,2027 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,603 L,€294 /km,"€46,230"
Hongqi,E-HS7 111 kWh AWD Pro,435 km,510 km,95.3 kWh,2608 kg,3.9 sec,219 Wh/km,5,E,210 kW,1500 kg,705 L,€172 /km,N/A
Volkswagen,e-Caravelle L1 210 kW 64 kWh,245 km,247 km,63.8 kWh,2523 kg,7.4 sec,260 Wh/km,9,N,75 kW,2000 kg,800 L,€300 /km,"€70,210"
Polestar,3 Rear Motor (MY26),440 km,520 km,88.0 kWh,2390 kg,6.5 sec,200 Wh/km,5,E,170 kW,1500 kg,508 L,€183 /km,N/A
Tesla,Model S P90DL,405 km,401 km,85.5 kWh,2271 kg,3.0 sec,211 Wh/km,5,F,90 kW,unknown,895 L,€330 /km,"€129,600"
Renault,Zoe R90 Entry,140 km,102 km,23.3 kWh,1502 kg,14.5 sec,166 Wh/km,5,B,0 kW,0 kg,338 L,€198 /km,"€30,100"
Mercedes-Benz,eVito Tourer Long 60 kWh,210 km,211 km,60.0 kWh,2380 kg,12.0 sec,286 Wh/km,9,N,96 kW,0 kg,990 L,€333 /km,"€60,678"
Fiat,E-Ulysse L2 75 kWh,265 km,252 km,69.0 kWh,2140 kg,13.3 sec,260 Wh/km,8,N,79 kW,1000 kg,450 L,€234 /km,"€61,990"
Porsche,Taycan Turbo S,430 km,549 km,83.7 kWh,2370 kg,2.8 sec,195 Wh/km,5,F,216 kW,0 kg,450 L,€445 /km,"€197,740"
Tesla,Model X P90DL,375 km,366 km,85.5 kWh,2524 kg,3.4 sec,228 Wh/km,7,F,90 kW,unknown,unknown,€382 /km,"€142,200"
Porsche,Taycan Turbo S Cross Turismo,380 km,478 km,83.7 kWh,2395 kg,2.9 sec,220 Wh/km,5,F,216 kW,0 kg,489 L,€486 /km,"€191,096"
Opel,Combo-e Life XL 50 kWh,200 km,214 km,46.3 kWh,1813 kg,11.7 sec,232 Wh/km,7,N,78 kW,750 kg,806 L,€212 /km,"€44,750"
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,205 km,211 km,60.0 kWh,2405 kg,12.0 sec,293 Wh/km,9,N,96 kW,0 kg,1390 L,€346 /km,"€61,571"
Genesis,GV60 Sport Plus (MY22-24),360 km,456 km,74.0 kWh,2220 kg,4.0 sec,206 Wh/km,5,C,200 kW,1600 kg,432 L,€209 /km,"€73,100"
Porsche,Taycan Turbo S Cross Turismo,485 km,619 km,97.0 kWh,2400 kg,2.5 sec,200 Wh/km,5,F,262 kW,0 kg,489 L,€425 /km,"€211,300"
Citroën,ë-Berlingo XL 50 kWh,205 km,221 km,46.3 kWh,1813 kg,11.7 sec,226 Wh/km,7,N,78 kW,750 kg,806 L,€204 /km,"€43,640"
Toyota,Proace Shuttle L 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.1 sec,260 Wh/km,9,N,79 kW,1000 kg,980 L,€263 /km,N/A
Mercedes-Benz,eVito Tourer Long 60 kWh,220 km,205 km,60.0 kWh,2448 kg,12.0 sec,273 Wh/km,8,N,60 kW,0 kg,990 L,€311 /km,"€68,398"
Opel,Zafira Electric XL 75 kWh,265 km,252 km,69.0 kWh,2240 kg,14.2 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€215 /km,"€54,550"
Porsche,Taycan 4,490 km,611 km,82.3 kWh,2245 kg,4.6 sec,168 Wh/km,5,F,195 kW,0 kg,491 L,€221 /km,"€106,200"
Volkswagen,e-Transporter Kombi L2 160 kW 64 kWh,250 km,250 km,63.8 kWh,2348 kg,8.6 sec,255 Wh/km,9,N,75 kW,2000 kg,1000 L,€262 /km,"€65,872"
BMW,i3s 94 Ah,160 km,163 km,27.2 kWh,1340 kg,6.9 sec,170 Wh/km,4,B,46 kW,0 kg,260 L,€265 /km,"€45,750"
Citroën,ë-SpaceTourer XS 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,140 L,€275 /km,"€50,880"
Opel,Zafira-e Life M 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,unknown,€306 /km,"€63,250"
Mercedes-Benz,EQE SUV 350+ (MY23),450 km,485 km,90.6 kWh,2430 kg,6.7 sec,201 Wh/km,5,E,141 kW,750 kg,520 L,€199 /km,"€86,811"
Volkswagen,e-Transporter Kombi L2 100 kW 64 kWh,250 km,250 km,63.8 kWh,2348 kg,12.8 sec,255 Wh/km,9,N,75 kW,2000 kg,1000 L,€252 /km,"€63,725"
Volkswagen,e-Caravelle L1 100 kW 64 kWh,245 km,247 km,63.8 kWh,2523 kg,12.8 sec,260 Wh/km,9,N,75 kW,2000 kg,800 L,€271 /km,"€66,021"
Opel,Zafira-e Life M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,unknown,€256 /km,"€69,250"
Peugeot,e-Expert Combi Standard 75 kWh,265 km,252 km,69.0 kWh,2131 kg,14.3 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€218 /km,"€57,940"
Ford,Mustang Mach-E SR RWD (MY22),375 km,375 km,70.0 kWh,2044 kg,6.9 sec,187 Wh/km,5,D,78 kW,750 kg,619 L,€156 /km,"€56,500"
Audi,Q4 Sportback e-tron 45 quattro,400 km,442 km,76.6 kWh,2215 kg,6.9 sec,192 Wh/km,5,C,115 kW,1200 kg,535 L,€149 /km,"€55,900"
Smart,ForTwo Cabrio Electric Drive,95 km,65 km,16.7 kWh,1115 kg,11.8 sec,176 Wh/km,2,A,0 kW,0 kg,260 L,€258 /km,"€25,200"
Kia,e-Soul 39 kWh,230 km,209 km,39.2 kWh,1593 kg,9.6 sec,170 Wh/km,5,B,37 kW,0 kg,315 L,€144 /km,"€33,133"
Citroën,ë-Jumpy Combi XL 75 kWh,265 km,252 km,69.0 kWh,2161 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,912 L,€222 /km,"€58,730"
Mercedes-Benz,EQV 250 Long,205 km,193 km,60.0 kWh,2576 kg,12.0 sec,293 Wh/km,7,N,60 kW,0 kg,1030 L,€332 /km,"€68,056"
Genesis,GV60 Sport (MY22-24),375 km,472 km,74.0 kWh,2170 kg,5.5 sec,197 Wh/km,5,C,200 kW,1600 kg,432 L,€174 /km,"€63,200"
Lotus,Emeya S,520 km,665 km,98.9 kWh,2555 kg,4.2 sec,190 Wh/km,5,F,240 kW,2250 kg,543 L,€245 /km,"€126,950"
Ford,e-Tourneo Custom L2 160 kW,235 km,233 km,64.0 kWh,2602 kg,9.0 sec,272 Wh/km,8,N,70 kW,2000 kg,672 L,€295 /km,"€67,771"
Kia,e-Niro 39 kWh,235 km,215 km,39.2 kWh,1667 kg,9.8 sec,167 Wh/km,5,C,37 kW,0 kg,451 L,€150 /km,"€35,290"
Audi,Q4 Sportback e-tron 35,295 km,314 km,52.0 kWh,1970 kg,9.0 sec,176 Wh/km,5,C,70 kW,0 kg,535 L,€174 /km,"€46,700"
Jeep,Avenger Electric 1st Edition,310 km,327 km,50.8 kWh,1611 kg,9.0 sec,164 Wh/km,5,B,85 kW,0 kg,355 L,€132 /km,"€39,900"
Porsche,Taycan 4S Plus,480 km,613 km,83.7 kWh,2295 kg,4.0 sec,174 Wh/km,5,F,216 kW,0 kg,491 L,€247 /km,"€120,081"
Ford,Mustang Mach-E SR AWD (MY23.75),350 km,372 km,72.6 kWh,2276 kg,6.2 sec,207 Wh/km,5,D,100 kW,750 kg,619 L,€168 /km,"€57,900"
Volvo,EC40 Twin Motor Performance (MY25),400 km,443 km,79.0 kWh,2185 kg,4.6 sec,198 Wh/km,5,C,125 kW,1800 kg,435 L,€162 /km,"€64,390"
Tesla,Model S 70D,355 km,369 km,69.0 kWh,2183 kg,5.4 sec,194 Wh/km,5,F,95 kW,unknown,895 L,€251 /km,"€88,200"
Opel,Vivaro-e Combi S 50 kWh,185 km,191 km,46.3 kWh,1932 kg,12.1 sec,250 Wh/km,9,N,78 kW,1000 kg,140 L,€268 /km,"€49,623"
Toyota,Proace City Verso L2 50 kWh,205 km,221 km,46.3 kWh,1813 kg,11.2 sec,226 Wh/km,7,N,78 kW,750 kg,850 L,€205 /km,"€40,150"
Ford,Mustang Mach-E SR AWD (MY24),350 km,372 km,72.6 kWh,2276 kg,6.2 sec,207 Wh/km,5,D,100 kW,750 kg,619 L,€165 /km,"€57,900"
Audi,e-tron S Sportback,335 km,354 km,86.5 kWh,2695 kg,4.5 sec,258 Wh/km,5,E,146 kW,1800 kg,615 L,€303 /km,"€96,050"
Porsche,Taycan Turbo Cross Turismo,395 km,496 km,83.7 kWh,2395 kg,3.3 sec,212 Wh/km,5,F,216 kW,0 kg,489 L,€389 /km,"€157,776"
Mercedes-Benz,EQV 250 Extra-Long,205 km,193 km,60.0 kWh,2606 kg,12.0 sec,293 Wh/km,7,N,60 kW,0 kg,1410 L,€336 /km,"€68,949"
Škoda,Enyaq Coupe 60 (MY24),345 km,375 km,58.0 kWh,2000 kg,8.8 sec,168 Wh/km,5,C,82 kW,1000 kg,570 L,€137 /km,"€46,850"
Porsche,Taycan Turbo Sport Turismo,505 km,655 km,97.0 kWh,2390 kg,2.7 sec,192 Wh/km,5,F,262 kW,0 kg,489 L,€340 /km,"€176,600"
Mercedes-Benz,eVito Tourer Extra-Long 60 kWh,215 km,201 km,60.0 kWh,2596 kg,12.0 sec,279 Wh/km,8,N,60 kW,0 kg,1390 L,€322 /km,"€69,309"
Tesla,Model X Performance,420 km,413 km,95.0 kWh,2572 kg,3.7 sec,226 Wh/km,7,F,100 kW,2250 kg,unknown,€242 /km,"€99,700"
Tesla,Model X Ludicrous Performance,440 km,438 km,95.0 kWh,2572 kg,2.9 sec,216 Wh/km,7,F,100 kW,2250 kg,unknown,€264 /km,N/A
Citroën,ë-SpaceTourer M 75 kWh,265 km,252 km,69.0 kWh,2131 kg,13.3 sec,260 Wh/km,9,N,79 kW,1000 kg,507 L,€237 /km,"€59,640"
Fiat,E-Ulysse L2 50 kWh,185 km,198 km,46.3 kWh,1969 kg,12.1 sec,250 Wh/km,8,N,78 kW,1000 kg,450 L,€303 /km,"€55,990"
Volkswagen,e-Caravelle L1 160 kW 64 kWh,245 km,247 km,63.8 kWh,2523 kg,8.6 sec,260 Wh/km,9,N,75 kW,2000 kg,800 L,€284 /km,"€68,169"
Volkswagen,e-Caravelle L2 100 kW 64 kWh,245 km,247 km,63.8 kWh,2568 kg,12.8 sec,260 Wh/km,9,N,75 kW,2000 kg,1000 L,€275 /km,"€67,027"
Toyota,Proace Shuttle L 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,980 L,€381 /km,N/A
Škoda,Enyaq Coupe iV 60 (MY23),345 km,375 km,58.0 kWh,2008 kg,8.8 sec,168 Wh/km,5,C,82 kW,1000 kg,575 L,€139 /km,N/A
Porsche,Taycan Turbo Cross Turismo,425 km,538 km,83.7 kWh,2395 kg,3.3 sec,197 Wh/km,5,F,216 kW,0 kg,489 L,€380 /km,"€165,848"
Mercedes-Benz,EQV 250 Extra-Long,210 km,199 km,60.0 kWh,2641 kg,12.0 sec,286 Wh/km,7,N,60 kW,0 kg,1410 L,€283 /km,"€59,363"
Peugeot,e-Expert Combi Standard 50 kWh,185 km,198 km,46.3 kWh,1969 kg,13.1 sec,250 Wh/km,9,N,78 kW,1000 kg,603 L,€271 /km,"€51,940"
Porsche,Taycan Turbo Sport Turismo,405 km,512 km,83.7 kWh,2405 kg,3.2 sec,207 Wh/km,5,F,216 kW,0 kg,489 L,€398 /km,"€165,372"
Fiat,E-Ulysse L3 75 kWh,265 km,252 km,69.0 kWh,2167 kg,13.3 sec,260 Wh/km,8,N,79 kW,1000 kg,800 L,€238 /km,"€62,990"
Opel,Zafira Electric 50 kWh,180 km,191 km,46.3 kWh,2027 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,603 L,€268 /km,"€47,550"
Lucid,Air Touring (MY25),605 km,689 km,96.0 kWh,2337 kg,3.6 sec,159 Wh/km,5,F,160 kW,0 kg,910 L,€192 /km,"€99,900"
Peugeot,e-Traveller Standard 75 kWh,265 km,252 km,69.0 kWh,2131 kg,14.3 sec,260 Wh/km,9,N,79 kW,1000 kg,603 L,€238 /km,"€59,640"
Peugeot,e-Traveller Long 75 kWh,265 km,252 km,69.0 kWh,2161 kg,14.3 sec,260 Wh/km,9,N,79 kW,1000 kg,989 L,€243 /km,"€60,430"
Citroën,ë-SpaceTourer M 50 kWh,180 km,191 km,46.3 kWh,2027 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,603 L,€274 /km,"€46,230"
Citroën,ë-SpaceTourer XL 50 kWh,180 km,191 km,46.3 kWh,2056 kg,13.3 sec,257 Wh/km,9,N,78 kW,1000 kg,989 L,€280 /km,"€47,230"
Kia,e-Niro 39 kWh,235 km,215 km,39.2 kWh,1667 kg,9.8 sec,167 Wh/km,5,C,37 kW,0 kg,451 L,€146 /km,"€34,400"
Opel,Vivaro-e Combi L 50 kWh,180 km,191 km,46.3 kWh,1989 kg,12.1 sec,257 Wh/km,9,N,78 kW,1000 kg,912 L,€269 /km,"€51,825"
Porsche,Taycan 4S Sport Turismo,370 km,469 km,71.0 kWh,2245 kg,4.0 sec,192 Wh/km,5,F,183 kW,0 kg,530 L,€308 /km,"€114,559"
